RelA.Amplitude,RelA.Peaktime,RelA.AUC,RelA.NOC,RelA.Duration,RelA.1st.rising.slope,RelA.Attenuation.rate,RelA.Period,cRel.Amplitude,cRel.Peaktime,cRel.AUC,cRel.NOC,cRel.Duration,cRel.1st.rising.slope,cRel.Attenuation.rate,cRel.Period,ligand
666.5050884,1.05,21674.78081,1,10.85,821.2069102,-27.7532868,3.15,537.9093283,1.283333333,19567.46595,0,12.6,334.5970154,-12.87978529,6.3,1
686.3376602,0.816666667,23290.35031,3,12.13333333,794.7213235,-22.29838065,3.15,691.7759411,1.4,35268.92701,2,12.6,481.7637396,-0.527011532,3.15,1
888.3533415,0.933333333,25119.3578,1,8.05,926.0578274,-40.2740665,1.8,846.7034278,1.166666667,23265.14655,1,10.73333333,561.4801794,-30.26799962,1.8,1
876.7198016,0.35,40494.22215,1,12.6,1296.901001,-29.55129871,2.1,785.219333,1.4,30511.88957,0,12.6,702.8035466,-30.09132776,12.6,1
828.0605056,0.466666667,26326.02685,0,8.633333333,533.4246776,-52.94117972,12.6,630.3389,1.75,22066.59934,0,12.6,597.2066181,-23.43712891,12.6,1
798.7464211,1.05,29179.80642,1,8.866666667,803.982741,-61.68810333,1.575,640.8382152,1.4,25309.04999,2,10.26666667,432.9737925,-43.57956809,1.575,1
749.5111064,0.466666667,14734.1647,1,4.666666667,282.7843317,-22.77346446,1.575,435.0873272,1.4,12603.8251,3,12.6,299.3171833,-2.662768466,1.575,1
859.7916227,0.7,32603.58211,0,12.6,378.2184982,-18.95512452,12.6,641.8521779,1.166666667,33200.92483,1,12.6,440.8359508,6.5489884,2.52,1
675.5013967,0.35,16322.24251,2,9.1,766.4376878,-28.33036988,2.1,522.8213722,1.05,12901.05571,3,12.25,340.8242628,-5.650895538,3.15,1
1056.361459,0.466666667,53251.99499,0,12.48333333,923.4221054,-52.90126499,12.6,892.0019245,1.633333333,44112.9358,0,12.6,843.8892423,-28.65256005,12.6,1
1055.486541,0.466666667,33014.85399,1,7,1205.093602,-59.77444082,2.52,748.1511496,1.4,26361.73132,1,12.48333333,602.8577864,-23.39550477,2.52,1
909.5713348,0.933333333,27888.69387,0,11.78333333,674.0158178,-31.49391028,12.6,532.9837279,1.05,18799.4973,0,12.6,296.9023954,-10.66517736,6.3,1
825.0804863,0.466666667,26376.49722,1,11.78333333,1036.041429,-33.48676964,2.52,644.275369,1.4,26609.62908,2,12.6,493.6350005,1.827727903,2.1,1
1003.80304,1.4,34542.51154,2,12.13333333,770.7675187,-32.79929456,2.1,781.4432166,1.516666667,35838.83522,2,12.6,441.5398863,-4.032607805,2.1,1
966.739181,0.7,37463.48767,0,12.6,600.9346936,-32.34628527,12.6,713.8992853,1.4,23932.51386,0,12.25,375.6462006,-23.3270223,12.6,1
1258.717054,0.583333333,47018.11854,1,12.6,1644.544356,-47.86606877,1.575,822.4504952,0.933333333,43685.97476,1,12.6,744.4635139,-6.879590049,3.15,1
596.0600718,1.05,24167.67975,2,12.36666667,648.4606826,-7.792459567,3.15,588.4876324,1.516666667,27377.11151,1,12.6,400.3286702,9.292407234,3.15,1
1042.861387,0.466666667,27188.2793,2,9.916666667,1456.612466,-32.57322301,2.1,833.9919125,1.283333333,34177.3544,2,12.6,894.141801,-9.126834991,3.15,1
886.9941871,1.166666667,36906.69128,2,12.48333333,862.2691303,-30.58338908,2.52,998.7669169,1.4,45533.37684,0,12.6,560.8530515,-23.48640197,6.3,1
982.4021399,0.7,51202.05529,0,12.6,1582.261555,-32.64388594,6.3,940.6836815,1.4,45883.8094,0,12.6,980.7031073,-31.37867584,6.3,1
1112.349994,0.933333333,38475.23146,3,10.85,964.2590354,-49.66353393,1.145454545,1037.976519,1.283333333,53513.59301,2,11.78333333,820.3502924,-36.3616743,1.145454545,1
609.8271996,0.35,13786.33931,0,9.45,416.6946651,-21.52778463,12.6,592.1315786,0.466666667,20206.61852,2,7.933333333,384.943421,-31.40305664,1.8,1
797.4097925,0.466666667,33696.01849,0,12.6,634.9309153,-24.6454753,6.3,567.917718,1.4,21998.8505,1,12.6,375.1372198,-6.506921531,3.15,1
